"","X1","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"31425",31425,61.81,"Einbýlishús",207.6,0,4,2,640,"Hafnarfjörður - Ásland"
"31426",31426,15.9,"Íbúðareign",79.2,0,3,1,2050,"Keflavík"
"31427",31427,20.7,"Íbúðareign",55.7,0,1,1,160,"Hólar, Berg"
"31428",31428,27.99,"Íbúðareign",56.3,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"31429",31429,11.5,"Íbúðareign",119.7,0,3,1,3000,"Akranes"
"31430",31430,16.6,"Raðhús",89.2,0,2,1,2050,"Keflavík"
"31431",31431,26.25,"Íbúðareign",53.3,0,1,1,320,"Kópavogur: Austurbær"
"31432",31432,6,"Íbúðareign",56.4,0,2,1,7020,"Vopnafjörður"
"31433",31433,12.81,"Einbýlishús",85.4,0,2,1,2020,"Sandgerði"
"31434",31434,27.98,"Einbýlishús",163.6,0,3,2,2040,"Njarðvík"
"31435",31435,39.31,"Íbúðareign",84.7,1,2,1,300,"Kópavogur: Vesturbær"
"31436",31436,34.5,"Parhús",159.7,0,3,2,2040,"Njarðvík"
"31437",31437,19,"Íbúðareign",58.7,0,2,1,100,"Laugarneshverfi/Vogar"
"31438",31438,69.77,"Raðhús",210.1,0,7,0,280,"Fossvogur"
"31439",31439,47.91,"Íbúðareign",125.8,2,4,1,320,"Kópavogur: Austurbær"
"31440",31440,33.67,"Íbúðareign",114,0,2,1,630,"Hafnarfjörður - Vellir"
"31441",31441,67.54,"Einbýlishús",247.3,0,5,2,160,"Hólar, Berg"
"31442",31442,68.84,"Íbúðareign",125.9,0,3,1,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"31443",31443,28.73,"Íbúðareign",73.1,0,2,1,320,"Kópavogur: Austurbær"
"31444",31444,25,"Íbúðareign",103.5,0,2,1,220,"Selás"
"31445",31445,48.09,"Íbúðareign",134.3,0,3,1,350,"Kópavogur: Hvörf, Þing"
"31446",31446,20.21,"Íbúðareign",42,0,1,1,90,"Holt/Tún"
"31447",31447,51.77,"Raðhús",136.8,0,4,1,320,"Kópavogur: Austurbær"
"31448",31448,32.49,"Íbúðareign",84.1,1,2,1,340,"Kópavogur: Lindir, Salir"
"31449",31449,40.48,"Raðhús",148.3,0,4,2,160,"Hólar, Berg"
"31450",31450,48.3,"Íbúðareign",119.5,0,3,1,511,"Garðabær: Akrahverfi"
"31451",31451,36.75,"Einbýlishús",166.5,0,8,1,8020,"Hveragerði"
"31452",31452,35.78,"Íbúðareign",98.9,1,3,1,270,"Norðlingaholt"
"31453",31453,29.97,"Parhús",101.5,0,2,1,290,"Kjalarnes"
"31454",31454,45,"Íbúðareign",127.2,0,4,2,281,"Réttarholt"
"31455",31455,107.84,"Íbúðareign",179.6,2,3,1,300,"Kópavogur: Vesturbær"
"31456",31456,26.47,"Íbúðareign",90.5,0,2,1,200,"Árbær"
"31457",31457,63.97,"Einbýlishús",213.1,0,4,3,150,"Seljahverfi"
"31458",31458,38.97,"Íbúðareign",126.8,1,3,1,180,"Grafarholt"
"31459",31459,30.49,"Íbúðareign",82.8,0,3,1,100,"Laugarneshverfi/Vogar"
"31460",31460,56.81,"Raðhús",170.8,0,4,1,270,"Norðlingaholt"
"31461",31461,37.39,"Íbúðareign",104.2,0,3,1,330,"Kópavogur: Hjallar, Smárar"
"31462",31462,48.88,"Raðhús",126.6,0,4,1,320,"Kópavogur: Austurbær"
"31463",31463,46.87,"Íbúðareign",132.3,0,5,2,90,"Holt/Tún"
"31464",31464,31.97,"Íbúðareign",83.9,0,2,1,330,"Kópavogur: Hjallar, Smárar"
"31465",31465,30.67,"Íbúðareign",59.6,0,3,1,100,"Laugarneshverfi/Vogar"
"31466",31466,29.89,"Íbúðareign",70.9,0,1,1,270,"Norðlingaholt"
"31467",31467,32.36,"Íbúðareign",92.8,1,2,1,351,"Kópavogur: Kórar"
"31468",31468,32.36,"Íbúðareign",92.8,1,2,1,351,"Kópavogur: Kórar"
"31469",31469,32.36,"Íbúðareign",92.8,1,2,1,351,"Kópavogur: Kórar"
"31470",31470,32.36,"Íbúðareign",92.8,1,2,1,351,"Kópavogur: Kórar"
"31471",31471,32.36,"Íbúðareign",92.8,1,2,1,351,"Kópavogur: Kórar"
"31472",31472,32.76,"Íbúðareign",91.7,0,2,1,340,"Kópavogur: Lindir, Salir"
"31473",31473,36.27,"Íbúðareign",121.1,1,3,1,350,"Kópavogur: Hvörf, Þing"
"31474",31474,29.67,"Íbúðareign",74.4,1,1,1,351,"Kópavogur: Kórar"
"31475",31475,29.48,"Einbýlishús",123.7,0,3,1,2020,"Sandgerði"
"31476",31476,38.35,"Íbúðareign",101,0,3,1,140,"Grafarvogur: Staðir"
"31477",31477,39.17,"Íbúðareign",75.6,1,2,1,330,"Kópavogur: Hjallar, Smárar"
"31478",31478,24.78,"Íbúðareign",47.1,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"31479",31479,204.93,"Einbýlishús",377,0,0,0,31,"Miðbær: Suður-Þingholt"
"31480",31480,36.39,"Íbúðareign",71,0,2,1,31,"Miðbær: Suður-Þingholt"
"31481",31481,24.49,"Íbúðareign",39.9,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"31482",31482,36.49,"Raðhús",109.3,0,3,1,284,"Bústaðahverfi"
"31483",31483,32.28,"Íbúðareign",94.6,0,2,2,100,"Laugarneshverfi/Vogar"
"31484",31484,41.45,"Íbúðareign",96.6,0,3,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"31485",31485,36.05,"Íbúðareign",79.3,0,4,1,600,"Hafnarfjörður"
"31486",31486,37.13,"Einbýlishús",152.1,0,4,2,2040,"Njarðvík"
"31487",31487,34,"Raðhús",116.1,0,3,1,2050,"Keflavík"
"31488",31488,43.5,"Íbúðareign",109.2,1,3,1,500,"Garðabær"
"31489",31489,27.98,"Íbúðareign",89.3,0,3,1,170,"Neðra-Breiðholt"
"31490",31490,53.37,"Einbýlishús",218,0,4,2,630,"Hafnarfjörður - Vellir"
"31491",31491,52.36,"Einbýlishús",168.5,0,4,2,810,"Mosfellsbær: Teigar, Krikar"
"31492",31492,50.86,"Einbýlishús",183.9,0,4,1,500,"Garðabær"
"31493",31493,65.86,"Raðhús",212,0,5,2,280,"Fossvogur"
"31494",31494,39.47,"Íbúðareign",125.5,1,4,1,680,"Hafnarfjörður - Börð"
"31495",31495,46.78,"Raðhús",189.8,0,6,2,170,"Neðra-Breiðholt"
"31496",31496,29.62,"Íbúðareign",51.2,0,1,1,281,"Réttarholt"
"31497",31497,32.79,"Íbúðareign",109.5,0,3,1,640,"Hafnarfjörður - Ásland"
"31498",31498,22,"Íbúðareign",54.8,1,1,1,220,"Selás"
